round_t,mean_static_regret,std_static_regret
1000,16.777777777774915,2.0030840419241027
2500,39.52777777779389,3.3864973346421494
5000,66.98611111117697,4.2948567791158485
7500,86.69444444454615,4.51429485354326
10000,99.97222222234836,5.111035627467839
